filename,Ground_Truth,Kaldi_Hypothesis,PocketSphinx_Hypothesis,DeepSpeech_Hypothesis,Kaldi_WER,Kaldi_MER,Kaldi_WIL,PocketSphinx_WER,PocketSphinx_MER,PocketSphinx_WIL,DeepSpeech_WER,DeepSpeech_MER,DeepSpeech_WIL
common_voice_en_13188,You're a big help.,you oughta be filled,u. a r. b. coke,you are a bee,1.0,1.0,1.0,1.0,0.8,0.95,1.0,1.0,1.0
common_voice_en_17298294,Where are the others?,where are the others the,where are the others,where are the others,0.25,0.2,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_170171,It's doubled our circulation.,it's doubled our circulation,it's doubled our circulation,it doubled our circulation,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.4375
common_voice_en_17891685,"Cheap, tawdry bags are being sold everywhere in this market.",she totally backs of being sold everywhere in the market,tito diabetics it being so or libya in this market,the tobacco being sold beer and smoked,0.5,0.5,0.75,0.7,0.7,0.91,0.8,0.8,0.9428571428571428
common_voice_en_118517,"I had a momentary impulse to go back and help him, but I was too scared to do anything.",i had a momentary impulse to go back and help him but i was too scared to do anything,i had a momentary impulse to go back to help him that i was too scared to do anything,i had a momentary impulse to go back and help him but i was too scared to do anything,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.19944598337950137,0.0,0.0,0.0
common_voice_en_16048295,Crack the walnut with your sharp side teeth.,correct the wanted with your shop site teeth ,greg who wanted to with your shots right steve,crack the one with the sharp side teeth,0.5,0.5,0.75,0.875,0.7777777777777778,0.9444444444444444,0.25,0.25,0.4375
common_voice_en_168769,Strike while the iron's hot.,strike while the iron sport,still a while that are unspoiled,travilla put,0.4,0.4,0.64,1.0,0.8333333333333334,0.9666666666666667,1.0,1.0,1.0
common_voice_en_17785361,Shall I meet you in the concourse then?,shall i meet you in the conquer then,so let me do in the grove course them,shall i meet you in the concrete,0.125,0.125,0.234375,0.875,0.7777777777777778,0.9444444444444444,0.25,0.25,0.3571428571428572
common_voice_en_162104,"""No,"" the alchemist answered.",no the alchemist answered,no that comes on sunday,no the arkansan were,0.0,0.0,0.0,1.0,0.8,0.95,0.5,0.5,0.75
common_voice_en_16665535,Don't forget to brush your teeth in the morning.,don't forget to brush your teeth in the morning,don't forget to crush of seats in the morning,do forget to brush a seein the morning,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.6527777777777778
common_voice_en_17699273,Silence gives consent.,silence gives consent,silence gives consent,silence gives consent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_140558,I was wondering if you would work on this project with me because I can’t find anyone else.,i was wondering if he would work on this project with me because i can't find anyone else,was wondering if you would work on this project with me because i can't find anyone outs,i was wondering if he would work on this project with me because i can't find any one else,0.1111111111111111,0.1111111111111111,0.2098765432098766,0.16666666666666666,0.16666666666666666,0.2647058823529411,0.2222222222222222,0.21052631578947367,0.3421052631578947
common_voice_en_111107,Our generator has been disrupted by ultra high frequency waves.,our generator must be destructive at ultra high frequency waves,it went in and it has been distracted record to hide african slaves,a generation has withstood by artifice waves,0.4,0.4,0.64,1.1,0.8461538461538461,0.9692307692307692,0.7,0.7,0.8714285714285714
common_voice_en_16048370,These pills do less good than others.,these pills do less good than others,what do these goes to less good than others and the,these postulata and others,0.0,0.0,0.0,0.8571428571428571,0.5454545454545454,0.6753246753246753,0.7142857142857143,0.7142857142857143,0.8571428571428572
common_voice_en_10522174,Christopher was confused.,crystal ball was confused ,without walls clone humans,the false,0.6666666666666666,0.5,0.6666666666666667,1.3333333333333333,1.0,1.0,1.0,1.0,1.0
common_voice_en_162306,What are you afraid of Melissa?,what are you afraid of melissa,well you afraid of you so,what are you afraid of melissa,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.75,0.0,0.0,0.0
common_voice_en_114432,One egg is like another.,what the ache it like to do,huh why take the ether like that at all,one he is like a thunder,1.2,0.8571428571428571,0.9714285714285714,1.6,0.8888888888888888,0.9777777777777777,0.6,0.5,0.7
common_voice_en_17728543,What do you make of that?,what do you make of that,what do you recall that,what we may of that ,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.5,0.5,0.7
common_voice_en_1008997,Let's go Hiking across France.,let's go hiking across france,let's go hiking across france,let's go hiking across france,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_17282324,"Shawty, you look jaw-dropping in that jersey.",he he looked jaw-dropping in that jersey ,salty year old daughter of an murderers and,shortly indulging in a jersey,0.42857142857142855,0.42857142857142855,0.6734693877551021,1.1428571428571428,1.0,1.0,0.7142857142857143,0.7142857142857143,0.8857142857142857
common_voice_en_16047883,The owner of the dwelling was not amused.,the owner of the dwelling wasn't amused,at the owner of the welling wasn't amused,the owner of the dwelling was not amused,0.25,0.25,0.3571428571428572,0.5,0.4444444444444444,0.609375,0.0,0.0,0.0
common_voice_en_116044,A person in a green shirt is looking up at the sky using a telescope.,a person in a green shirt is looking up at the sky using a telescope,a person in a green shirt nice looking up at the sky you seen a telescope,a person in a green shirt is looking up at the sky using a telescope,0.0,0.0,0.0,0.2,0.1875,0.2958333333333333,0.0,0.0,0.0
common_voice_en_17250258,"Forget it, there is no such thing.",forget it there is no such thing,forget a there is no such thing,forget there is no such thing,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.14285714285714285,0.14285714285714285,0.1428571428571429
common_voice_en_162307,How'd you get in here?,how'd you get in here,how to get here,harrigan he,0.0,0.0,0.0,0.6,0.6,0.8,1.0,1.0,1.0
common_voice_en_1323348,Let me see your ticket.,let me see your ticket ,grant me see yard to get,let me see your ticket,0.0,0.0,0.0,0.8,0.6666666666666666,0.8666666666666667,0.0,0.0,0.0
common_voice_en_17303873,"I'd like to order some cinnamon pretzels, please.",i'd like to order some cinnamon pretzels please,her heart was fun and prep school dreams,i cartesian practice,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
common_voice_en_1531516,The chocolate bar looked so tempting that Lenna just couldn't abstain from it.,the chocolate bar looks will contain that luna just ask me from it,that lot pilots who campaigned elena just clear that the product,the clearest in the inaugural from ,0.46153846153846156,0.46153846153846156,0.7100591715976332,0.9230769230769231,0.9230769230769231,0.993006993006993,0.8461538461538461,0.8461538461538461,0.9487179487179487
common_voice_en_129890,You're a man disgusted with all of civilization.,you're a man disgusted with all of civilization,ERROR - FAILED,your man disgusted with all the civilization,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.375,0.5535714285714286
common_voice_en_17275067,"At first, studying correlation in graphs is tough for me.",of course thirty coordination in the ground and stuff for me,what will it he would he wants is one,but for sterilities in stupor,0.8,0.7272727272727273,0.9181818181818182,1.0,1.0,1.0,0.9,0.9,0.98
common_voice_en_16528366,The ship was torn apart on the sharp reef.,the ship was torn apart on the sharper reef,the ship was sworn in hong kong which operate,tisias son apart on the shop rage,0.1111111111111111,0.1111111111111111,0.2098765432098766,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.8571428571428572
common_voice_en_11483,Henderson stood up with a spade in his hand.,and listen stood up with a spirit in his hand ,and as soon as that of his fear this time,in entrepot the spear in his hand,0.3333333333333333,0.3,0.4555555555555556,1.1111111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428572
common_voice_en_17911345,Attack is the best means of defence.,attack is the best means of defense,but that is the best means of the fence,attack is the best means of defense,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.5714285714285714,0.4444444444444444,0.6031746031746031,0.14285714285714285,0.14285714285714285,0.26530612244897966
common_voice_en_17269127,"Quiet down, will you?",what a wall ,why don't we,i warn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
common_voice_en_16634165,I beg your pardon!,i beg your pardon ,but in your garden you,a big burden,0.0,0.0,0.0,1.0,0.8,0.95,1.0,1.0,1.0
common_voice_en_143932,The streamer of gas came out towards us.,the streamer of gas came out toward us,toward us,the dreamer as came out toward us,0.125,0.125,0.234375,0.875,0.875,0.9375,0.5,0.5,0.7142857142857143
common_voice_en_166414,"The caravans had been stopped at Giza for some time, waiting for the wars to end.",the car ovens are nice though are the,if the government a lethal tear of it the blood,the car caravanserai varicolored,0.875,0.875,0.96875,0.9375,0.9375,0.99375,0.9375,0.9375,0.984375
common_voice_en_17924420,Please try to let us know by September.,please try to answer no by september,the chosen as an ally said devon,in tragaldabas september,0.375,0.375,0.5535714285714286,1.0,1.0,1.0,0.875,0.875,0.9583333333333334
common_voice_en_17274472,"Wow, this is a nice table!",wow this is a nice stable,now this night is given,while lisette,0.16666666666666666,0.16666666666666666,0.30555555555555547,0.8333333333333334,0.8333333333333334,0.9666666666666667,1.0,1.0,1.0
common_voice_en_175301,A group of people walking on snowy steps.,the good people walking on snow stops ,the good people who have who is bad,go people organised notes,0.625,0.625,0.8392857142857143,1.0,1.0,1.0,0.875,0.875,0.96875
common_voice_en_16665998,Will come out in the flesh.,will come out in the flesh,would you gumbo tuna fish,we come out in the flesh,0.0,0.0,0.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.30555555555555547
common_voice_en_15305,Three dogs running on tire tracks in snow.,the three dogs running on tire tracks in the snow the,trade arms running out on tire tracks and snoring,three dogs running on tire tracks and is now,0.375,0.2727272727272727,0.2727272727272727,0.625,0.5555555555555556,0.7777777777777778,0.375,0.3333333333333333,0.5
common_voice_en_104099,The Linux terminal refuses to make me a cup of coffee.,the linux terminal refused to make me a cup of coffee ,on the knees turning over refused to make me a conference calls it,the leinstermen refused to make me a cup coffee,0.09090909090909091,0.09090909090909091,0.17355371900826455,0.7272727272727273,0.6153846153846154,0.8251748251748252,0.36363636363636365,0.36363636363636365,0.505050505050505
common_voice_en_17740812,Sharon knows how to annoy her sister.,sure knows how to annoy his sister,journalist called in what is,she knows how to his sister,0.2857142857142857,0.2857142857142857,0.4897959183673469,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.6190476190476191
common_voice_en_17266332,"Toffee coated all the surfaces, it was disgustingly sticky.",the people the surfaces the,the oval office for his food you,the ebionites intewesting estein,0.7777777777777778,0.7777777777777778,0.9111111111111111,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.9722222222222222
common_voice_en_17258823,Do you know him?,do you know him ,i really am,do i know him,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.25,0.4375
common_voice_en_17388983,Please mind the gap between the platform and train.,please mind the gap between the platform and the train,his mind the gap between the platform and going,please mine the gap between the platform and train,0.1111111111111111,0.1,0.09999999999999998,0.2222222222222222,0.2222222222222222,0.3950617283950617,0.1111111111111111,0.1111111111111111,0.2098765432098766
common_voice_en_17732764,They chose to build strong stone walls around the city.,the tools to build strong stores around the city,you choose to free storms towards the owners today,the two to be strong to work and on the city,0.4,0.4,0.6000000000000001,0.9,0.9,0.9888888888888889,0.7,0.6363636363636364,0.8545454545454545
common_voice_en_138828,Even the guides spoke very little to one another.,the guy spoke very little to one another ,you've actually burned a woman love,agincourt one another,0.2222222222222222,0.2222222222222222,0.3194444444444444,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.8518518518518519
common_voice_en_17934845,Only the good die young.,only the good die young ,only the good guys you know,only the good die young,0.0,0.0,0.0,0.6,0.5,0.7,0.0,0.0,0.0
common_voice_en_1496485,The hostess taught the new maid to serve.,the hostess thought then you made to serve,the host this old thing you'll meet observed,the hostess tottered to serve,0.5,0.5,0.75,0.875,0.875,0.984375,0.5,0.5,0.6
common_voice_en_178299,Grandpa hasn't called me for days.,grandpa hasn't called me for days,grandpa hasn't called me for days,grandpa hasn't come for days,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666667
common_voice_en_15799842,But you could bring them there!,but you could bring them there ,would you couldn't bring them there,but you could bring them there,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0
common_voice_en_17918057,Smile when you say nasty words.,the steepness,some i don't see that,may balinese,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
common_voice_en_17259150,"Jennifer's expression changed. ""Pull my finger"", she said.",jennifer's expression changed pull my finger she said,to the hostess was unchanged for my finger out she said,genevese experienced on my finger she said,0.0,0.0,0.0,0.875,0.6363636363636364,0.8181818181818181,0.5,0.5,0.7142857142857143
common_voice_en_17276386,"Here, let me show you around.",here let me show you around,here let me show you around,here let me show you around,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_17831001,Money burns a hole in your pocket.,money burns a hole in your pocket ,many burns a hole in your pocket,many burn a hole in your pocket,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.2857142857142857,0.2857142857142857,0.4897959183673469
common_voice_en_17267938,"Without understanding the actual physics, some animals exploit total internal reflection for catching fish.",without understanding the actual physics some animals exploit total internal reflection for catching fish,without understanding the actual physics some animals exploit total intro reflection for catching fish,without understanding the actual physics some animals exploit total internal reflection for catching fish,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.1377551020408163,0.0,0.0,0.0
common_voice_en_16665997,Curly brackets are hard to type.,golly beckett or how to type,good in that it ought to that,conybeare had to take,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.8571428571428571,0.9761904761904762,0.8333333333333334,0.8333333333333334,0.9583333333333334
common_voice_en_17256171,How did you know?,how did you know,how de janeiro,how did you know,0.0,0.0,0.0,0.75,0.75,0.9166666666666666,0.0,0.0,0.0
common_voice_en_103373,"Then he realized that he had been distracted for a few moments, looking at the sword.",then he realized that he had been distracted for a few moments looking at the sword ,then he realized that he had been distracted for a few moments looking and the sword,then he realized that he had been distracted for a few moments looking at the sword,0.0,0.0,0.0,0.0625,0.0625,0.12109375,0.0,0.0,0.0
common_voice_en_128102,Then he turned to the boy.,then he turned to the boy the,then he turned to the buoyant,then he turned to the boy,0.16666666666666666,0.14285714285714285,0.1428571428571429,0.16666666666666666,0.16666666666666666,0.30555555555555547,0.0,0.0,0.0
common_voice_en_17882305,"Angela is pregnant, she told me.",and the law is pregnant she told me,handily is pregnant sukhumi,and alas pregnant settle,0.5,0.375,0.47916666666666663,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334
common_voice_en_136335,You told me that.,you told me that,you're going in debt,you tolerated,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.75,0.875
common_voice_en_10890,There were mountains in the distance.,there were mountains in the distance,there are options in the distance,there were mountains in the distance,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0
common_voice_en_17273139,"When I visited South America I had dinner with Aaron, Douglas, Nicole, and Raymond.",the america i had dinner with aaron degrees niculae and ramon,no this is selves america that demon was created did you use the cute and grunwald,manister had been netherlandish nude and remark,0.5,0.5,0.6818181818181819,1.0,0.875,0.9821428571428571,0.8571428571428571,0.8571428571428571,0.9591836734693877
common_voice_en_12048797,The priest collapsed backwards.,the priest collapse backwards,the post let's make words,the pistoles backwards,0.25,0.25,0.4375,1.0,0.8,0.95,0.5,0.5,0.6666666666666667
common_voice_en_17256165,"Yes, it would be.",he is it will be,that use it would be,he is it will be,0.75,0.6,0.8,0.5,0.4,0.55,0.75,0.6,0.8
common_voice_en_17798574,What will happen to him?,what will happen to him,what will happen to him,what will happen to him,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_17394114,Might others within your organisation have some inkling as to the their desires?,might others within the organization have some in kings as to the their desire,like others we need your organization a person in king's has to go there to either,it others within your organization is sometimes as to be there desire ,0.38461538461538464,0.35714285714285715,0.554945054945055,1.0,0.8125,0.9567307692307693,0.6153846153846154,0.6153846153846154,0.8397435897435898
common_voice_en_17279971,"""What a load of trash"", Sarah opined.",what a load of trash sarah opined,what a lot of trash so are our power,what a lot of charles serapa,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,0.746031746031746,0.5714285714285714,0.5714285714285714,0.7857142857142857
common_voice_en_17832074,"Cheese is made from milk, as well as many other dairy products.",cheese is made from milk as well as many other dairy products,he's he's made from known as low as many other big part,this is made from milk as well as many other daily products,0.0,0.0,0.0,0.5,0.5,0.75,0.16666666666666666,0.16666666666666666,0.30555555555555547
common_voice_en_17254880,Why did you tell me?,why did you tell me,when you're done me,why did you let me,0.0,0.0,0.0,0.8,0.8,0.95,0.2,0.2,0.3599999999999999
common_voice_en_17902879,She decided against it.,c decided against it,see you desired that against the king,she decided against it,0.25,0.25,0.4375,1.5,0.8571428571428571,0.9642857142857143,0.0,0.0,0.0
common_voice_en_143627,"I don't know if I'll be able to find life in the desert, the boy thought.",i don't know if i'll be able to find live in the desert the boy thought,i don't eat all the irony i would go by you i need an o'clock o'clock,i don't know if i will be over to find life in the bush boys,0.0625,0.0625,0.12109375,0.875,0.875,0.984375,0.4375,0.4117647058823529,0.5833333333333334
common_voice_en_17516142,Where are we going?,where are we going,where are we going,where we going,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
common_voice_en_111963,"He had suddenly remembered that, in Tarifa, there was an old woman who interpreted dreams.",he had suddenly remembered that in tarifa there was an old woman who interpreted dreams ,the incident and the dots in silesia them was an old woman who intend to dreams,he had suddenly remembered that in the rear there was an old woman who interpreted dreams,0.0,0.0,0.0,0.6,0.5625,0.7958333333333334,0.13333333333333333,0.125,0.18333333333333335
common_voice_en_14494,I have the money I need to buy my sheep.,i have the money i need to buy the sheep the,i know the one millimeter bullet worksheet,i have the money to be,0.2,0.18181818181818182,0.26363636363636356,0.8,0.8,0.9428571428571428,0.5,0.5,0.5833333333333333
common_voice_en_1575599,She always managed to make everybody around him smile.,she always managed to make everybody around him smile,she always managed to make everybody around him smile,she always managed to make everybody around him smile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_17271270,"Despite years of research, the problem remained intractable.",despite years of research the probably remain intractable,ERROR - FAILED,despite years of research the probably remain tractable,0.25,0.25,0.4375,1.0,1.0,1.0,0.375,0.375,0.609375
common_voice_en_113254,He had assumed he would soon return to his sheep.,the sheep,he and what's that it's you,it had concerned in it soonest,0.9,0.9,0.95,0.9,0.9,0.9833333333333333,0.9,0.9,0.9833333333333333
common_voice_en_156858,This ain't my room.,the st my room ,the same my room,the same room,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.9166666666666666
common_voice_en_17861959,"Because of my depression, I have been recommended to see a psychiatrist.",because of my depression i have been recommended to see a psychiatrist,the goal of my depression have been a woman enthusiastic backers,the goal of my depression i have been recommended to seaside,0.0,0.0,0.0,0.6666666666666666,0.6153846153846154,0.8106060606060606,0.4166666666666667,0.38461538461538464,0.5151515151515151
common_voice_en_17371751,"The thing is, nobody knew what was happening.",the thing is nobody knew what was happening,the thing is not wanting a lot all happened,the thing is nobody know what was happened,0.0,0.0,0.0,0.75,0.6666666666666666,0.875,0.25,0.25,0.4375
common_voice_en_100736,"He was excited, and at the same time uneasy: maybe the girl had already forgotten him.",he was excited and at the same time uneasy maybe the girl had already forgotten him,he was excited and at the same time an easy integral had already forgotten him,he was excited and at the same time uneasy maybe the girl had already forgotten him,0.0,0.0,0.0,0.25,0.25,0.3999999999999999,0.0,0.0,0.0
common_voice_en_141537,But his heart was speaking of other things.,but his heart was speaking of other things,what he's hard it was you know and things,but his heart was speaking of all the things,0.0,0.0,0.0,0.875,0.7777777777777778,0.9444444444444444,0.25,0.2222222222222222,0.3194444444444444
common_voice_en_114430,"""Enough,"" said the boy.",enough said the boy,enough segue abolish her,enough said the boy,0.0,0.0,0.0,0.75,0.75,0.9375,0.0,0.0,0.0
common_voice_en_17280304,"The organ of this cathedral is made of ebony, except the pipes of course.",the organ of this cathedral is made of a bonnie a set of pipes of course,the old enough this cathedral is fidelity bonnie and said the pipes off course,the organ of his cathedral is made of ebony a settee of course,0.35714285714285715,0.3125,0.4598214285714286,0.5,0.5,0.75,0.2857142857142857,0.2857142857142857,0.4505494505494505
common_voice_en_15710162,I thought he's immune to the flu.,i thought he immune to the flu,i thought is immune to the floor,i thought his mane to the flow,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.2857142857142857,0.2857142857142857,0.4897959183673469,0.42857142857142855,0.42857142857142855,0.6734693877551021
common_voice_en_14858368,you will have to wait for it till doomsday,you will have to wait for it till doomsday,you'll have to wait for till doomsday,you will have to wait for it till doomsday,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4285714285714286,0.0,0.0,0.0
common_voice_en_130020,"The little girl wanted to have a balloon, but was too shy to ask.",the little girl wanted to have a balloon but was too shy to ask,yes uncle want it to ed do you'd but was too shy to oscar,the little gold wanted to have a balloon but was too shy to ask,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.8163265306122449,0.07142857142857142,0.07142857142857142,0.1377551020408163
common_voice_en_136405,The darkest hour is before the dawn.,the darkest hour is before the dawn,the darkest hours before the dawn,the darkest hour is before the dog,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.40476190476190477,0.14285714285714285,0.14285714285714285,0.26530612244897966
common_voice_en_121247,That's a pack of lies you're telling!,that's a pack of lies you're talon,as an acolyte you're telling,that's a pactolian,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.7142857142857143,0.7142857142857143,0.8857142857142857,0.7142857142857143,0.7142857142857143,0.8095238095238095
common_voice_en_17287522,"This was a lie, and they all knew it.",this was a light and they all knew it,ERROR - FAILED,this was a lie and the army with,0.1111111111111111,0.1111111111111111,0.2098765432098766,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.6527777777777778
common_voice_en_1738082,"Luckily, the dagger couldn't penetrate the bullet proof vest.",luckily the data couldn't penetrate the bullet proof vest,little event that could give much weight the book who bade us,look you leave a detective at the bullet proof vest,0.1111111111111111,0.1111111111111111,0.2098765432098766,1.2222222222222223,0.9166666666666666,0.9907407407407407,0.6666666666666666,0.6,0.8222222222222222
common_voice_en_17259574,What can it mean?,what can it mean,,what can it mean,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
common_voice_en_17340608,"Me too, so I try to get plenty wherever I go.",me too so i tried to get plenty wherever i go,me too so i drive to get plenty wherever i go,me too so i try to get plenty wherever i go,0.09090909090909091,0.09090909090909091,0.17355371900826455,0.09090909090909091,0.09090909090909091,0.17355371900826455,0.0,0.0,0.0
common_voice_en_16659358,"Chickens lay so many eggs a week, it wouldn't be possible to breed them all.",the chickens i saw me actually it wouldn't be possible to breed them all,shifting his last army exclude the motive of coal to them all,chickens gloomily it would be possible to break them all,0.4666666666666667,0.4666666666666667,0.6952380952380952,0.8,0.8,0.95,0.5333333333333333,0.5333333333333333,0.6733333333333333
common_voice_en_17269063,What do you think?,what youtube,what do you think,waiter,0.75,0.75,0.875,0.0,0.0,0.0,1.0,1.0,1.0
common_voice_en_12804,A local band performing at a local venue.,a local band performing at a local venue,local banker throw money into local than you,a roman performing ethereal wine,0.0,0.0,0.0,0.875,0.7777777777777778,0.9375,0.75,0.75,0.9
common_voice_en_17252223,How far is it?,how far is that ,how far is that guy,how far is that,0.25,0.25,0.4375,0.5,0.4,0.55,0.25,0.25,0.4375
common_voice_en_17285307,"Have you finished with the Annual Report, Jane?",have you finished with the annual report reporting,if you're seeing is that the n. r. reporting,have you finished with the arrephorae,0.125,0.125,0.234375,1.0,0.8888888888888888,0.9861111111111112,0.375,0.375,0.47916666666666663
common_voice_en_17265491,"Potatoes are less space-saving, durable and cheap than pasta.",the,ERROR - FAILED,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
common_voice_en_15733340,Let's have a look at the standard deviation.,let's have a look at the standard deviation,let's have a look at the standard deviation,let's have a look at the standard deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common_voice_en_10393,A man and a girl stand in front of a large crowd.,a man and a girl stands in front of a large crowd,in an undeclared stan's loop will relax cried out,a man and a girl and in from of lancaut,0.08333333333333333,0.08333333333333333,0.15972222222222232,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.5916666666666667
common_voice_en_148529,That doesn't happen to just anyone!,that doesn't happen to just anyone ,that doesn't happen to just anyone,that doesn't happen to just any one,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.40476190476190477
common_voice_en_17276700,"Very well, he replied.",the wedding he replied,the wherein he runs,they were healing,0.5,0.5,0.75,0.75,0.75,0.9375,1.0,1.0,1.0
common_voice_en_17258618,Are you in pain?,are you in pain,the red are you in the o.,are you in pain,0.0,0.0,0.0,1.0,0.5714285714285714,0.6785714285714286,0.0,0.0,0.0
common_voice_en_17726300,The local internet economy is very strong.,the local internet economy is very strong,the dog and in the medical mean used lady's press,the local interest economy is venison,0.0,0.0,0.0,1.2857142857142858,0.9,0.9857142857142858,0.42857142857142855,0.42857142857142855,0.6190476190476191
common_voice_en_178280,Would you like to see my id?,would you like to see my id,we get out if you monty,would you love to see me i do,0.0,0.0,0.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.7142857142857143
